[SYS] 2025/03/30 - 21:15:14 | New API v0.0.0 started 
[SYS] 2025/03/30 - 21:15:14 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:14 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | database migrated 
[SYS] 2025/03/30 - 21:15:15 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:15 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | Redis is enabled 
[SYS] 2025/03/30 - 21:15:15 | memory cache enabled 
[SYS] 2025/03/30 - 21:15:15 | sync frequency: 60 seconds 
[SYS] 2025/03/30 - 21:15:15 | channels synced from database 
[SYS] 2025/03/30 - 21:15:15 | batch update enabled with interval 5s 
[SYS] 2025/03/30 - 21:15:15 | pprof enabled 
[SYS] 2025/03/30 - 21:15:15 | initializing token encoders 
[SYS] 2025/03/30 - 21:15:15 | 正在更新数据看板数据... 
[SYS] 2025/03/30 - 21:15:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/30 - 21:15:15 | token encoders initialized 
[SYS] 2025/03/30 - 21:15:15 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/30 - 21:15:20 | batch update started 
[SYS] 2025/03/30 - 21:15:20 | batch update finished 
[SYS] 2025/03/30 - 21:15:25 | batch update started 
[SYS] 2025/03/30 - 21:15:25 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询开始 
[SYS] 2025/03/30 - 21:15:30 | batch update started 
[SYS] 2025/03/30 - 21:15:30 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询完成 
[GIN] 2025/03/30 - 21:15:35 | 20250330211535927168775me6GqCEX | 200 |    1.287325ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:35 | 20250330211535986253992GNyO0yML | 200 |    1.136634ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:35 | 202503302115359908720258d0BR1GF | 200 |    1.532592ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:36 | 2025033021153640882700RkaZ6ZuG | 200 |    1.000025ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:36 | 20250330211536942223509BNakS7g | 200 |      1.0374ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:36 | 20250330211536139817142JdRqWBBV | 200 |    1.068708ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:36 | 20250330211536237607258GP4kRil7 | 200 |     1.00815ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:36 | 20250330211536250879392jLVv8voD | 200 |     916.933µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:36 | 202503302115362569245007F79mY2R | 200 |     944.991µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:36 | 20250330211536264723092FZJQXdaQ | 200 |     876.633µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:36 | 20250330211536264825900d0kqiyDJ | 200 |    1.205533ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:36 | 20250330211536270057533BbKbrpLq | 200 |   16.523217ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:36 | 202503302115362913946509gMzIlrB | 200 |    1.219942ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:37 | 20250330211537799773492SyAURX2i | 200 |    1.730191ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:37 | 20250330211537798889817Pqe5VR51 | 200 |    6.082592ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:37 | 20250330211537851553900VeIsKj4m | 200 |     861.575µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:37 | 20250330211537860545458EX31heJW | 200 |   52.917583ms |             ::1 |     GET /api/notice
[SYS] 2025/03/30 - 21:15:38 | batch update started 
[SYS] 2025/03/30 - 21:15:38 | batch update finished 
[GIN] 2025/03/30 - 21:15:38 | 202503302115381543783cMtkgKVG | 200 |    1.399234ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 2025033021153836468717lFb7ujNm | 200 |    1.082142ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 2025033021153840262875Y2BvXi0u | 200 |    1.226984ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 2025033021153849355942IGCbZQl0 | 200 |     56.5747ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 2025033021153849355942yVm1L68n | 200 |   57.063283ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538164105642WNmXsFVp | 200 |     998.725µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538167106583l2j3l1Uo | 200 |    1.338675ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538203682733SfSuNl2q | 200 |     638.733µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538229989642tEfcXDpc | 200 |    7.535125ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538270459725baZqkwFN | 200 |     774.692µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538270459725WpsGdYid | 200 |    1.166859ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538366869458gqbkMW7o | 200 |    1.438991ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538367071717B9E0aNsO | 200 |    1.684042ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538367221975R2EE4M4k | 200 |    1.886192ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538389719883GrddYP1C | 200 |     593.342µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538366698508q9BdOhmG | 200 |     925.166µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538453413925q0dYeRyU | 200 |   23.142925ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538504924800M1YKaBrG | 200 |       549.9µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 2025033021153843111166732mOblUK | 200 |    78.74425ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538521766950be7lGo3Z | 200 |       824.2µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 20250330211538539654517KY3zzaD1 | 200 |     799.175µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538552040375NFD7LQP7 | 200 |    2.657525ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:38 | 20250330211538796328142EVspYLgF | 200 |    1.632909ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:38 | 202503302115388066379008lbmdG6e | 200 |     681.741µs |             ::1 |     GET /api/home_page_content
